name,age,club,minor,pa,best,pos,field,bats,HR_mlb,HR,OBP,OPS+,bestP,HR_p,OBP_p,OPS+_p,OPS+_pF,Tpct,c,1b,2b,3b,ss,lf,cf,rf,dh,cP,1bP,2bP,3bP,ssP,lfP,cfP,rfP,dhP,toWAR,toWARP,c_tdWAR,1b_tdWAR,2b_tdWAR,3b_tdWAR,ss_tdWAR,lf_tdWAR,cf_tdWAR,rf_tdWAR,dh_tdWAR,in_list
Guy Ramer,18,Free,0,0,-7.11,lf,,R,,6,0.158,52,0.81,14,0.333,103,-999,0.52,-18.43,-7.67,-12.74,-11.99,-16.68,-7.11,-8.88,-9.51,-7.89,-10.51,0.25,-4.82,-4.07,-8.76,0.81,-0.96,-1.59,0.02,-7.89,0.02,-10.54,0.22,-4.85,-4.09,-8.78,0.79,-0.99,-1.61,0,
Caleb Tucker,18,Free,0,0,-7.2,lf,RF,L,,8,0.15,50,2.76,14,0.345,108,108,0.81,-19.01,-8.34,-13.75,-12.85,-17.95,-7.2,-7.71,-7.31,-8.47,-9.04,1.63,-3.79,-2.89,-7.99,2.76,2.25,2.65,1.49,-8.47,1.49,-10.54,0.14,-5.28,-4.38,-9.48,1.27,0.76,1.16,0,
Mike Browning,18,Free,0,0,-7.24,lf,LF,R,,6,0.155,50,2.7,14,0.342,109,109,0.81,-18.82,-8.03,-12.35,-12.08,-16.81,-7.24,-8.38,-8.48,-8.28,-8.88,1.91,-2.41,-2.14,-6.87,2.7,1.56,1.46,1.66,-8.28,1.66,-10.54,0.26,-4.07,-3.8,-8.53,1.05,-0.09,-0.2,0,
Jimmy Arendt,18,Free,0,0,-7.09,lf,LF,L,,6,0.16,52,3.49,13,0.367,112,112,0.84,-18.48,-7.88,-12.52,-11.88,-17.12,-7.09,-8.4,-8.42,-8.08,-7.91,2.7,-1.94,-1.3,-6.54,3.49,2.18,2.16,2.49,-8.08,2.49,-10.4,0.21,-4.44,-3.8,-9.04,1.0,-0.32,-0.34,0,
Ricky Lemus,18,Free,0,0,-8.37,lf,,R,,4,0.14,46,1.89,17,0.352,108,-999,0.46,-19.79,-9.15,-12.82,-11.76,-16.72,-8.37,-10.19,-10.59,-9.25,-9.53,1.1,-2.56,-1.5,-6.46,1.89,0.07,-0.33,1.0,-9.25,1.0,-10.54,0.1,-3.57,-2.5,-7.46,0.88,-0.93,-1.33,0,
John Becton,18,Free,0,0,-6.62,c,C,R,,4,0.134,44,2.03,12,0.314,95,95,0.79,-6.62,-9.17,-11.5,-10.64,-15.44,-13.47,-10.89,-12.94,-9.61,2.03,-0.52,-2.85,-1.99,-6.79,-4.82,-2.24,-4.29,-0.96,-9.61,-0.96,2.99,0.44,-1.9,-1.03,-5.84,-3.86,-1.28,-3.34,0,
Josh Harris,18,Free,0,0,-8.01,1b,,R,,8,0.158,51,3.36,40,0.358,125,-999,0.51,-19.01,-8.01,-8.68,-10.17,-12.83,-11.32,-10.38,-11.22,-8.47,-7.63,3.36,2.69,1.2,-1.46,0.05,0.99,0.15,2.9,-8.47,2.9,-10.54,0.46,-0.21,-1.7,-4.36,-2.85,-1.91,-2.75,0,
Zenos Stamatelos,19,Free,0,0,-6.96,3b,"2B, 3B",R,,6,0.161,53,1.71,14,0.338,107,107,0.82,-18.66,-7.71,-8.32,-6.96,-9.14,-7.38,-9.38,-9.88,-8.12,-9.99,0.95,0.34,1.71,-0.47,1.28,-0.71,-1.21,0.54,-8.12,0.54,-10.54,0.41,-0.2,1.16,-1.02,0.74,-1.26,-1.76,0,
Ramon Garcia,18,Free,0,0,-8.88,1b,,L,,4,0.145,47,0.19,12,0.34,103,-999,0.47,-19.43,-8.88,-14.15,-13.21,-18.24,-11.78,-10.89,-11.5,-9.03,-10.36,0.19,-5.09,-4.15,-9.17,-2.71,-1.82,-2.43,0.04,-9.03,0.04,-10.4,0.15,-5.12,-4.19,-9.21,-2.75,-1.86,-2.47,0,
Pat Marchant,18,Free,0,0,-7.84,1b,,R,,4,0.17,52,3.08,7,0.426,120,-999,0.52,-18.82,-7.84,-8.42,-10.19,-13.33,-12.81,-9.86,-12.22,-8.29,-7.9,3.08,2.5,0.73,-2.41,-1.89,1.06,-1.3,2.63,-8.29,2.63,-10.54,0.44,-0.14,-1.9,-5.04,-4.53,-1.57,-3.94,0,
Corey Almond,18,Free,0,0,-7.18,1b,,R,,4,0.17,54,4.81,21,0.417,128,-999,0.54,-18.18,-7.18,-11.8,-10.78,-16.83,-10.54,-9.52,-10.54,-7.64,-6.19,4.81,0.2,1.21,-4.83,1.45,2.48,1.46,4.35,-7.64,4.35,-10.54,0.46,-4.16,-3.14,-9.18,-2.9,-1.87,-2.89,0,
Jake Gregg,18,Free,0,0,-6.46,lf,LF,L,,6,0.187,56,4.15,8,0.447,118,118,0.9,-18.15,-7.5,-11.97,-9.64,-14.93,-6.46,-7.65,-7.52,-7.61,-7.54,3.11,-1.36,0.97,-4.31,4.15,2.96,3.09,3.0,-7.61,3.0,-10.54,0.11,-4.36,-2.02,-7.31,1.15,-0.04,0.09,0,
Eric Coolidge,19,Free,0,0,-6.62,lf,,S,,6,0.176,55,4.05,21,0.404,121,-999,0.55,-18.04,-7.32,-11.63,-11.3,-16.36,-6.62,-8.39,-8.84,-7.5,-7.37,3.35,-0.96,-0.63,-5.68,4.05,2.28,1.84,3.17,-7.5,3.17,-10.54,0.18,-4.13,-3.8,-8.85,0.88,-0.89,-1.33,0,
Gerardo Soto,17,Free,0,0,-7.87,1b,,R,,6,0.164,51,1.84,20,0.378,107,-999,0.51,-18.89,-7.87,-10.57,-10.64,-15.71,-12.46,-10.01,-12.04,-8.35,-9.18,1.84,-0.86,-0.93,-6.0,-2.75,-0.31,-2.33,1.36,-8.35,1.36,-10.54,0.48,-2.22,-2.29,-7.36,-4.11,-1.66,-3.69,0,
Jeremy Farrell,18,Free,0,0,-8.45,1b,,R,,4,0.146,48,1.24,10,0.365,110,-999,0.48,-19.3,-8.45,-9.81,-9.85,-14.85,-13.2,-10.38,-12.7,-8.77,-9.62,1.24,-0.12,-0.16,-5.16,-3.51,-0.69,-3.02,0.92,-8.77,0.92,-10.54,0.32,-1.05,-1.08,-6.08,-4.43,-1.61,-3.94,0,
Chris Ernst,18,Free,0,0,-7.17,1b,,L,,6,0.175,56,4.9,28,0.426,136,-999,0.56,-18.04,-7.17,-12.86,-12.07,-16.91,-11.64,-8.96,-11.1,-7.5,-5.97,4.9,-0.8,-0.0,-4.85,0.43,3.1,0.96,4.56,-7.5,4.56,-10.54,0.34,-5.36,-4.57,-9.41,-4.13,-1.46,-3.6,0,
Sergio Gonzalez,19,HOU,1,0,-3.58,1b,,R,,10,0.24,74,0.47,17,0.319,101,-999,0.74,-14.69,-3.58,-4.89,-4.1,-8.4,-8.14,-5.61,-7.62,-4.29,-10.63,0.47,-0.84,-0.05,-4.34,-4.09,-1.56,-3.57,-0.23,-4.29,-0.23,-10.4,0.7,-0.6,0.19,-4.11,-3.86,-1.32,-3.34,0,
Victor Ayala,19,CLE,1,0,-5.85,1b,,R,,10,0.21,64,1.18,34,0.327,110,-999,0.64,-16.45,-5.85,-10.54,-10.3,-14.72,-8.57,-7.54,-8.1,-5.92,-9.42,1.18,-3.51,-3.27,-7.69,-1.54,-0.51,-1.07,1.11,-5.92,1.11,-10.54,0.06,-4.62,-4.38,-8.8,-2.65,-1.62,-2.18,0,
Rafael Ruvalcaba,19,ATL,1,0,-2.27,1b,,R,,10,0.272,84,3.02,17,0.385,121,-999,0.84,-12.94,-2.27,-3.77,-4.52,-8.54,-6.97,-4.1,-6.58,-2.54,-7.64,3.02,1.52,0.78,-3.25,-1.67,1.19,-1.29,2.76,-2.54,2.76,-10.4,0.27,-1.24,-1.98,-6.01,-4.43,-1.56,-4.05,0,
Domeneco Rodriguez,19,MIL,1,0,-4.72,lf,RF,L,,8,0.205,64,1.18,14,0.333,102,102,0.98,-16.53,-5.77,-9.37,-9.6,-13.88,-4.72,-5.37,-4.83,-5.99,-10.63,0.13,-3.47,-3.7,-7.98,1.18,0.54,1.07,-0.09,-5.99,-0.09,-10.54,0.22,-3.38,-3.6,-7.89,1.27,0.63,1.16,0,
Antonio Barichello,20,TOR,1,0,-4.69,lf,,R,,6,0.223,67,2.9,13,0.38,116,-999,0.67,-16.06,-5.49,-10.81,-9.91,-15.01,-4.69,-6.64,-7.0,-5.53,-8.48,2.1,-3.22,-2.32,-7.42,2.9,0.95,0.59,2.06,-5.53,2.06,-10.54,0.04,-5.28,-4.38,-9.48,0.84,-1.11,-1.47,0,
Wilson Sandoval,19,CWS,1,0,-7.42,1b,,R,,6,0.167,54,0.14,17,0.319,102,-999,0.54,-18.24,-7.42,-10.8,-10.84,-15.71,-12.19,-9.28,-11.64,-7.71,-10.69,0.14,-3.24,-3.29,-8.16,-4.63,-1.72,-4.09,-0.15,-7.71,-0.15,-10.54,0.29,-3.09,-3.14,-8.01,-4.48,-1.57,-3.94,0,
David Francisco,19,CHC,1,0,-6.24,2b,2B,R,,4,0.189,57,-2.82,8,0.256,78,78,0.88,-17.72,-6.79,-6.24,-7.98,-9.62,-11.22,-8.54,-10.5,-7.18,-14.3,-3.37,-2.82,-4.57,-6.21,-7.8,-5.13,-7.09,-3.77,-7.18,-3.77,-10.54,0.39,0.94,-0.8,-2.44,-4.04,-1.36,-3.32,0,
Diego Carrillo,20,PIT,1,0,-2.45,lf,RF,R,,10,0.248,77,2.81,23,0.33,109,109,1.12,-14.26,-3.61,-7.92,-6.89,-11.5,-2.45,-2.97,-2.56,-3.72,-9.0,1.65,-2.66,-1.62,-6.23,2.81,2.3,2.7,1.54,-3.72,1.54,-10.54,0.11,-4.19,-3.16,-7.77,1.27,0.76,1.16,0,
Jesus Espinoza,19,CHC,1,0,-8.78,1b,,R,,6,0.144,47,-4.41,17,0.225,73,-999,0.47,-9.31,-8.78,-14.29,-13.98,-17.96,-13.56,-10.61,-13.07,-9.13,-4.94,-4.41,-9.92,-9.61,-13.59,-9.19,-6.24,-8.7,-4.76,-9.13,-4.76,-0.18,0.35,-5.15,-4.85,-8.83,-4.43,-1.48,-3.94,0,
Tony Altamira,19,CHC,1,0,-8.77,lf,,S,,4,0.134,44,-6.65,6,0.184,56,-999,0.44,-20.14,-9.04,-13.31,-12.55,-16.88,-8.77,-10.63,-11.08,-9.61,-18.03,-6.92,-11.2,-10.43,-14.77,-6.65,-8.51,-8.96,-7.49,-9.61,-7.49,-10.54,0.56,-3.71,-2.94,-7.28,0.84,-1.02,-1.47,0,
Jon Rodriguez,19,CHC,1,0,-8.39,1b,,S,,6,0.153,51,-3.44,14,0.254,80,-999,0.51,-9.31,-8.39,-12.43,-11.75,-16.25,-12.67,-9.71,-11.98,-8.39,-4.36,-3.44,-7.48,-6.8,-11.3,-7.72,-4.76,-7.02,-3.44,-8.39,-3.44,-0.92,0.0,-4.04,-3.36,-7.86,-4.28,-1.32,-3.59,0,
David Zuniga,19,ATL,1,0,-6.97,1b,,R,,6,0.173,56,0.56,17,0.325,105,-999,0.56,-17.93,-6.97,-8.4,-8.61,-13.04,-11.53,-8.81,-10.99,-7.39,-10.4,0.56,-0.87,-1.08,-5.51,-4.0,-1.28,-3.46,0.14,-7.39,0.14,-10.54,0.42,-1.01,-1.21,-5.65,-4.13,-1.42,-3.6,0,
Anbrosio Formosinho,19,HOU,1,0,-4.58,1b,,L,,6,0.219,68,2.14,14,0.342,109,-999,0.68,-15.6,-4.58,-5.34,-6.3,-9.75,-9.12,-6.68,-8.75,-5.06,-8.88,2.14,1.38,0.42,-3.03,-2.4,0.04,-2.03,1.66,-5.06,1.66,-10.54,0.48,-0.27,-1.23,-4.68,-4.06,-1.62,-3.69,0,
Jonathan Caro,19,SF,1,0,-4.7,rf,RF,R,,4,0.185,58,3.19,12,0.34,109,109,0.89,-16.96,-6.34,-10.08,-10.31,-14.59,-5.37,-5.3,-4.7,-6.7,-9.07,1.55,-2.19,-2.42,-6.7,2.52,2.59,3.19,1.19,-6.7,1.19,-10.25,0.36,-3.38,-3.6,-7.89,1.33,1.41,2.01,0,
Cortez Reyes,19,MIN,1,0,-4.42,lf,,R,,8,0.223,68,0.1,17,0.312,98,-999,0.68,-15.74,-5.14,-10.24,-8.95,-13.42,-4.42,-6.19,-6.82,-5.2,-11.22,-0.62,-5.72,-4.43,-8.9,0.1,-1.67,-2.3,-0.68,-5.2,-0.68,-10.54,0.06,-5.04,-3.75,-8.22,0.79,-0.99,-1.61,0,
Ernesto Gonzalez,19,CHC,1,0,-9.38,1b,,R,,4,0.134,44,-7.99,4,0.166,52,-999,0.44,-20.14,-9.38,-13.43,-13.65,-17.5,-12.46,-11.52,-12.36,-9.61,-18.76,-7.99,-12.05,-12.26,-16.11,-11.07,-10.13,-10.97,-8.22,-9.61,-8.22,-10.54,0.23,-3.83,-4.04,-7.89,-2.85,-1.91,-2.75,0,
Alex Hernandez,19,CHC,1,0,-9.34,1b,,R,,4,0.134,44,-7.05,4,0.188,56,-999,0.44,-20.14,-9.34,-13.7,-12.88,-17.86,-12.46,-11.52,-12.36,-9.61,-17.85,-7.05,-11.41,-10.59,-15.57,-10.17,-9.23,-10.07,-7.32,-9.61,-7.32,-10.54,0.27,-4.09,-3.28,-8.25,-2.85,-1.91,-2.75,0,
Marcos Gonzalez,19,LAA,1,0,-6.0,lf,LF,R,,6,0.191,59,2.81,28,0.356,116,116,0.91,-7.02,-6.91,-11.1,-10.91,-15.17,-6.0,-7.23,-7.34,-7.0,1.79,1.91,-2.28,-2.09,-6.35,2.81,1.59,1.48,1.82,-7.0,1.82,-0.02,0.1,-4.1,-3.91,-8.17,1.0,-0.23,-0.34,0,
Adam de Veen,19,TEX,1,0,-6.13,lf,RF,R,,6,0.182,57,1.75,12,0.348,107,107,0.88,-17.74,-7.08,-11.61,-11.11,-15.56,-6.13,-6.65,-6.62,-7.2,-9.86,0.8,-3.73,-3.23,-7.67,1.75,1.24,1.27,0.68,-7.2,0.68,-10.54,0.12,-4.41,-3.91,-8.35,1.07,0.56,0.59,0,
Mike Garcia,19,CHC,1,0,-9.18,1b,,R,,4,0.14,46,-2.51,12,0.278,86,-999,0.46,-10.45,-9.18,-13.54,-13.25,-18.38,-12.05,-11.07,-11.87,-9.25,-3.77,-2.51,-6.86,-6.57,-11.7,-5.38,-4.39,-5.19,-2.58,-9.25,-2.58,-1.19,0.07,-4.29,-4.0,-9.13,-2.8,-1.82,-2.61,0,
Jesus Bueno,19,SF,1,0,-3.8,lf,,L,,10,0.24,72,0.82,34,0.306,104,-999,0.72,-15.02,-4.04,-7.71,-5.21,-10.59,-3.8,-5.75,-6.31,-4.48,-10.41,0.58,-3.09,-0.59,-5.97,0.82,-1.13,-1.69,0.13,-4.48,0.13,-10.54,0.45,-3.22,-0.72,-6.1,0.68,-1.26,-1.83,0,
Fernando Rendon,19,LAA,1,0,-1.49,1b,,L,,12,0.294,88,0.68,13,0.342,103,-999,0.88,-12.4,-1.49,-2.98,-3.36,-6.74,-5.86,-3.37,-5.34,-2.0,-10.23,0.68,-0.81,-1.19,-4.57,-3.69,-1.2,-3.17,0.16,-2.0,0.16,-10.4,0.51,-0.98,-1.36,-4.74,-3.86,-1.37,-3.34,0,
Danny Alfonso,19,CHC,1,0,-1.49,2b,2B,R,,12,0.298,88,5.9,39,0.407,139,139,1.35,-12.67,-1.71,-1.49,-2.01,-3.59,-6.27,-3.83,-5.95,-2.27,-5.28,5.67,5.9,5.37,3.8,1.11,3.55,1.43,5.12,-2.27,5.12,-10.4,0.55,0.78,0.25,-1.32,-4.01,-1.56,-3.69,0,
Juan Montes,19,HOU,1,0,-1.05,lf,RF,R,,10,0.292,86,2.9,17,0.37,114,114,1.32,-12.75,-2.14,-6.93,-6.87,-10.6,-1.05,-1.6,-1.35,-2.22,-8.8,1.82,-2.97,-2.92,-6.65,2.9,2.35,2.61,1.74,-2.22,1.74,-10.54,0.08,-4.71,-4.65,-8.38,1.17,0.61,0.87,0,
Edwin Arce,19,CHC,1,0,-8.66,lf,LF,R,,4,0.134,44,-6.03,8,0.209,60,60,0.68,-20.14,-9.42,-13.92,-13.87,-17.99,-8.66,-9.89,-10.09,-9.61,-17.51,-6.79,-11.29,-11.24,-15.36,-6.03,-7.26,-7.46,-6.98,-9.61,-6.98,-10.54,0.18,-4.31,-4.27,-8.38,0.95,-0.28,-0.48,0,
Alejandro Tapia,19,HOU,1,0,-4.46,3b,"2B, 3B",R,,8,0.213,67,1.51,17,0.331,104,104,1.03,-15.97,-4.87,-4.54,-4.46,-6.51,-9.29,-6.85,-8.77,-5.43,-10.0,1.1,1.44,1.51,-0.54,-3.32,-0.87,-2.79,0.54,-5.43,0.54,-10.54,0.56,0.9,0.97,-1.08,-3.86,-1.41,-3.34,0,
Dave Manzur,19,CHC,1,0,-9.33,1b,,R,,4,0.134,44,-8.39,6,0.156,50,-999,0.44,-20.14,-9.33,-13.51,-12.53,-17.65,-12.41,-11.42,-12.22,-9.61,-19.2,-8.39,-12.57,-11.58,-16.71,-11.46,-10.48,-11.27,-8.66,-9.61,-8.66,-10.54,0.28,-3.9,-2.92,-8.05,-2.8,-1.82,-2.61,0,
Alex Baez,19,NYY,1,0,-5.89,lf,,R,,6,0.191,60,1.63,17,0.342,107,-999,0.6,-17.31,-6.35,-6.88,-6.62,-9.53,-5.89,-7.75,-8.11,-6.78,-9.79,1.17,0.64,0.91,-2.01,1.63,-0.23,-0.59,0.75,-6.78,0.75,-10.54,0.43,-0.11,0.16,-2.75,0.88,-0.97,-1.33,0,
Marco Vega,19,CHC,1,0,-2.99,1b,,R,,10,0.258,78,0.21,12,0.331,100,-999,0.78,-14.03,-2.99,-4.13,-5.43,-7.77,-7.4,-5.0,-6.97,-3.5,-10.83,0.21,-0.92,-2.22,-4.57,-4.2,-1.8,-3.77,-0.29,-3.5,-0.29,-10.54,0.5,-0.63,-1.93,-4.28,-3.91,-1.51,-3.48,0,
Alex Meza,19,BOS,1,0,-4.18,1b,,R,,8,0.231,71,0.66,17,0.328,102,-999,0.71,-15.4,-4.18,-7.57,-7.13,-13.33,-8.67,-6.05,-8.06,-4.86,-10.56,0.66,-2.73,-2.29,-8.48,-3.83,-1.21,-3.21,-0.02,-4.86,-0.02,-10.54,0.68,-2.71,-2.27,-8.46,-3.81,-1.19,-3.19,0,
Montrel Radini,19,LAD,1,0,-5.16,lf,RF,R,,4,0.204,61,0.7,8,0.33,97,97,0.94,-17.01,-6.15,-8.09,-7.72,-11.72,-5.16,-5.8,-5.18,-6.48,-11.15,-0.29,-2.23,-1.85,-5.86,0.7,0.06,0.68,-0.62,-6.48,-0.62,-10.54,0.32,-1.61,-1.24,-5.24,1.32,0.68,1.3,0,
Willie Ramirez,19,MIL,1,0,-3.65,1b,,R,,10,0.25,77,0.45,14,0.341,104,-999,0.77,-9.14,-3.65,-8.1,-6.24,-11.18,-8.09,-5.33,-7.67,-3.86,-5.05,0.45,-4.0,-2.15,-7.09,-4.0,-1.24,-3.57,0.24,-3.86,0.24,-5.29,0.21,-4.25,-2.39,-7.33,-4.24,-1.48,-3.81,0,
Jose Montenegro,19,CHC,1,0,-9.33,1b,,R,,4,0.134,44,-8.96,6,0.145,47,-999,0.44,-20.14,-9.33,-13.55,-13.32,-17.5,-13.47,-11.02,-12.94,-9.61,-19.78,-8.96,-13.19,-12.95,-17.13,-13.1,-10.65,-12.58,-9.24,-9.61,-9.24,-10.54,0.28,-3.94,-3.71,-7.89,-3.86,-1.41,-3.34,0,
Manny Lopez,20,CHC,1,0,-9.28,1b,,R,,4,0.143,45,-7.82,4,0.195,54,-999,0.45,-19.82,-9.28,-13.52,-13.33,-17.59,-13.55,-10.88,-13.02,-9.42,-18.37,-7.82,-12.07,-11.88,-16.13,-12.1,-9.43,-11.57,-7.97,-9.42,-7.97,-10.4,0.14,-4.1,-3.91,-8.17,-4.13,-1.46,-3.6,0,
Diego Hernandez,19,CHC,1,0,-4.66,1b,,R,,6,0.241,70,-1.18,8,0.323,93,-999,0.7,-10.66,-4.66,-9.57,-8.92,-13.77,-8.8,-6.31,-8.42,-4.74,-7.18,-1.18,-6.09,-5.45,-10.3,-5.32,-2.83,-4.95,-1.26,-4.74,-1.26,-5.92,0.08,-4.83,-4.19,-9.04,-4.06,-1.57,-3.69,0,
Carlos Morejon,19,MIA,1,0,-4.16,lf,RF,R,,8,0.213,67,0.42,14,0.307,97,97,1.03,-15.97,-5.1,-7.82,-7.5,-12.69,-4.16,-4.81,-4.27,-5.43,-11.38,-0.51,-3.24,-2.91,-8.1,0.42,-0.22,0.31,-0.85,-5.43,-0.85,-10.54,0.34,-2.39,-2.07,-7.26,1.27,0.63,1.16,0,
Edwin Castro,19,MIL,1,0,-3.69,lf,,L,,8,0.228,72,0.92,14,0.33,104,-999,0.72,-14.77,-3.98,-8.24,-7.51,-13.38,-3.69,-5.46,-6.2,-4.37,-10.17,0.62,-3.64,-2.91,-8.78,0.92,-0.86,-1.59,0.23,-4.37,0.23,-10.4,0.39,-3.87,-3.14,-9.01,0.68,-1.09,-1.83,0,
Rene Rodriguez,18,CHC,1,0,-8.56,lf,LF,R,,4,0.134,44,-7.06,6,0.172,53,53,0.71,-20.14,-9.28,-13.45,-11.98,-17.35,-8.56,-9.74,-9.8,-9.61,-18.64,-7.79,-11.95,-10.48,-15.85,-7.06,-8.25,-8.31,-8.11,-9.61,-8.11,-10.54,0.32,-3.84,-2.37,-7.74,1.05,-0.14,-0.2,0,
Danny Morales,19,DET,1,0,-3.22,1b,,R,,8,0.26,76,0.62,16,0.335,100,-999,0.76,-14.36,-3.22,-3.6,-3.85,-7.64,-6.67,-5.73,-6.58,-3.82,-10.52,0.62,0.23,-0.01,-3.8,-2.84,-1.9,-2.74,0.01,-3.82,0.01,-10.54,0.61,0.22,-0.02,-3.81,-2.85,-1.91,-2.75,0,
Jon Nunez,19,MIA,1,0,-3.92,1b,,R,,12,0.251,75,1.8,38,0.335,114,-999,0.75,-14.59,-3.92,-9.33,-8.44,-13.54,-8.29,-5.57,-7.87,-4.05,-8.87,1.8,-3.62,-2.72,-7.82,-2.57,0.14,-2.15,1.66,-4.05,1.66,-10.54,0.14,-5.28,-4.38,-9.48,-4.24,-1.52,-3.81,0,
Felix Munoz,19,PIT,1,0,-7.67,lf,RF,R,,4,0.147,47,0.58,14,0.301,95,95,0.72,-19.24,-8.5,-12.22,-12.45,-16.73,-7.67,-8.14,-7.97,-8.84,-10.99,-0.25,-3.97,-4.19,-8.48,0.58,0.11,0.28,-0.59,-8.84,-0.59,-10.4,0.34,-3.38,-3.6,-7.89,1.17,0.7,0.87,0,
Alex Varajo,19,CHC,1,0,-8.16,lf,LF,L,,4,0.14,46,-0.67,10,0.299,89,89,0.71,-19.79,-9.15,-13.56,-13.28,-18.09,-8.16,-9.43,-9.3,-9.25,-12.3,-1.66,-6.08,-5.79,-10.6,-0.67,-1.94,-1.81,-1.77,-9.25,-1.77,-10.54,0.11,-4.31,-4.02,-8.83,1.1,-0.17,-0.05,0,
Alex Vargas,19,CHC,1,0,-8.41,3b,,R,,4,0.152,49,-0.16,14,0.327,101,-999,0.49,-19.08,-8.45,-10.09,-8.41,-14.23,-12.76,-10.04,-12.14,-8.68,-10.83,-0.21,-1.84,-0.16,-5.98,-4.52,-1.8,-3.89,-0.43,-8.68,-0.43,-10.4,0.22,-1.41,0.27,-5.55,-4.09,-1.37,-3.46,0,
Servaas Visser,19,BOS,1,0,-6.39,lf,,L,,6,0.171,56,0.45,14,0.312,99,-999,0.56,-17.68,-7.13,-11.19,-10.33,-15.22,-6.39,-8.21,-8.61,-7.28,-10.83,-0.28,-4.35,-3.49,-8.37,0.45,-1.36,-1.77,-0.43,-7.28,-0.43,-10.4,0.15,-3.91,-3.05,-7.94,0.88,-0.93,-1.33,0,
Juan Camacho,19,CHC,1,0,-8.66,lf,LF,L,,4,0.134,44,-7.27,4,0.166,52,52,0.68,-20.14,-9.54,-13.87,-13.18,-18.33,-8.66,-9.84,-10.09,-9.61,-18.76,-8.16,-12.48,-11.8,-16.95,-7.27,-8.46,-8.7,-8.22,-9.61,-8.22,-10.54,0.06,-4.26,-3.58,-8.73,0.95,-0.24,-0.48,0,
Max Bautista,18,BOS,0,0,-7.22,lf,RF,R,,6,0.153,51,1.02,14,0.32,99,99,0.82,-18.93,-8.2,-12.92,-12.39,-17.37,-7.22,-7.78,-7.52,-8.39,-10.69,0.04,-4.69,-4.15,-9.14,1.02,0.46,0.72,-0.15,-8.39,-0.15,-10.54,0.19,-4.53,-4.0,-8.98,1.17,0.61,0.87,0,
Antonio Rodriguez,19,TEX,1,0,-4.69,lf,,L,,6,0.211,65,3.8,22,0.361,117,-999,0.65,-16.16,-5.54,-10.66,-9.37,-13.84,-4.69,-6.54,-6.81,-5.62,-7.67,2.95,-2.17,-0.88,-5.35,3.8,1.94,1.68,2.86,-5.62,2.86,-10.54,0.09,-5.04,-3.75,-8.22,0.94,-0.92,-1.18,0,
Marcus Cryer,19,CHC,1,0,-8.1,1b,,R,,4,0.152,49,-1.39,10,0.288,90,-999,0.49,-19.21,-8.1,-9.1,-9.27,-12.62,-11.43,-10.53,-11.15,-8.68,-12.51,-1.39,-2.39,-2.57,-5.91,-4.72,-3.83,-4.44,-1.97,-8.68,-1.97,-10.54,0.58,-0.42,-0.6,-3.94,-2.75,-1.86,-2.47,0,
Rodolfo Rubio,19,LAD,1,0,-4.81,1b,,R,,12,0.229,69,1.1,32,0.333,108,-999,0.69,-15.53,-4.81,-6.59,-7.61,-12.75,-8.03,-7.05,-8.03,-5.13,-9.63,1.1,-0.68,-1.71,-6.85,-2.13,-1.15,-2.12,0.77,-5.13,0.77,-10.4,0.33,-1.45,-2.48,-7.62,-2.9,-1.92,-2.89,0,
Bobby Rodriguez,19,MIL,1,0,-4.63,1b,,R,,8,0.223,68,0.15,17,0.322,99,-999,0.68,-15.74,-4.63,-5.03,-6.35,-9.06,-9.24,-6.57,-8.52,-5.2,-10.96,0.15,-0.25,-1.58,-4.28,-4.46,-1.79,-3.75,-0.43,-5.2,-0.43,-10.54,0.58,0.18,-1.15,-3.85,-4.04,-1.36,-3.32,0,
Nick Ortiz,18,CLE,1,0,-6.75,c,,R,,6,0.189,58,0.24,17,0.326,102,-999,0.58,-6.75,-6.8,-11.26,-11.06,-15.94,-11.16,-8.25,-10.47,-6.89,0.24,0.19,-4.26,-4.07,-8.95,-4.17,-1.26,-3.48,0.11,-6.89,0.11,0.13,0.08,-4.37,-4.18,-9.06,-4.28,-1.37,-3.59,0,
Leon Rosario,18,CHC,0,0,-9.61,dh,,R,,4,0.134,44,-8.2,6,0.161,52,-999,0.44,-20.14,-9.71,-14.64,-13.35,-17.83,-12.41,-11.42,-12.22,-9.61,-18.74,-8.3,-13.24,-11.95,-16.42,-11.0,-10.02,-10.81,-8.2,-9.61,-8.2,-10.54,-0.1,-5.04,-3.75,-8.22,-2.8,-1.82,-2.61,0,
Ismael Gonzalez,18,COL,1,0,-3.75,1b,,L,,8,0.249,75,0.88,12,0.351,107,-999,0.75,-3.94,-3.75,-8.09,-7.01,-11.53,-8.16,-5.44,-7.53,-4.07,0.69,0.88,-3.46,-2.39,-6.91,-3.53,-0.81,-2.91,0.55,-4.07,0.55,0.13,0.33,-4.02,-2.94,-7.46,-4.09,-1.37,-3.46,0,
Manny Velazquez,19,PHI,1,0,-6.46,1b,,R,,4,0.189,58,0.83,10,0.349,105,-999,0.58,-17.49,-6.46,-7.06,-6.8,-9.71,-10.86,-8.37,-10.43,-6.95,-10.2,0.83,0.23,0.5,-2.42,-3.57,-1.08,-3.14,0.34,-6.95,0.34,-10.54,0.5,-0.11,0.16,-2.75,-3.91,-1.42,-3.48,0,
